nn	accu	cost
25	0.94239998	0.269780354595524
30	0.89920002	0.302632101554396
35	0.96799999	0.203911615612324
40	0.96399999	0.161831387036547
45	0.98479998	0.127608793400977
50	0.9752	0.0990975085365197
55	0.98000002	0.152486755369399
60	0.98159999	0.151118739981078
65	0.97439998	0.139295985216034
70	0.98000002	0.141408140855316
75	0.972	0.131559313628524
80	0.972	0.132645916860192
85	0.97600001	0.141678504522928
90	0.97439998	0.131394171045879
95	0.98000002	0.124052538731369
100	0.96719998	0.165021334106442
110	0.97280002	0.112287100710245
120	0.98559999	0.123520347132443
130	0.97759998	0.0846607671357875
140	0.96319997	0.117774677284107
150	0.97680002	0.118788169682119
